628	2	
6.0346128622471140179e-01	-1.6396497650721066769e-02	0.0000000000000000000e+00	
6.0173317538861903486e-01	-1.6519417421738246537e-02	0.0000000000000000000e+00	
6.0000000000000008882e-01	-1.6642341562751926387e-02	0.0000000000000000000e+00	
5.9826180357057623382e-01	-1.6765263661072376394e-02	0.0000000000000000000e+00	
5.9651862973812352919e-01	-1.6888177295040746051e-02	0.0000000000000000000e+00	
5.9477052226537663326e-01	-1.7011076033803293472e-02	0.0000000000000000000e+00	
5.9301752503893045976e-01	-1.7133953437084330912e-02	0.0000000000000000000e+00	
5.9125968206813794836e-01	-1.7256803054958511079e-02	0.0000000000000000000e+00	
5.8949703748400528180e-01	-1.7379618427622540999e-02	0.0000000000000000000e+00	
5.8772963553808477144e-01	-1.7502393085166600972e-02	0.0000000000000000000e+00	
5.8595752060136263584e-01	-1.7625120547345784344e-02	0.0000000000000000000e+00	
5.8418073716314600219e-01	-1.7747794323351780144e-02	0.0000000000000000000e+00	
5.8239932982994546684e-01	-1.7870407911584906130e-02	0.0000000000000000000e+00	
5.8061334332435587946e-01	-1.7992954799427016144e-02	0.0000000000000000000e+00	
5.7882282248393235324e-01	-1.8115428463015566252e-02	0.0000000000000000000e+00	
5.7702781226006616411e-01	-1.8237822367018628050e-02	0.0000000000000000000e+00	
5.7522835771685532080e-01	-1.8360129964411581183e-02	0.0000000000000000000e+00	
5.7342450402997313663e-01	-1.8482344696255741806e-02	0.0000000000000000000e+00	
5.7161629648553446970e-01	-1.8604459991478840275e-02	0.0000000000000000000e+00	
5.6980378047895863247e-01	-1.8726469266657868457e-02	0.0000000000000000000e+00	
5.6798700151382985890e-01	-1.8848365925804605459e-02	0.0000000000000000000e+00	
5.6616600520075455183e-01	-1.8970143360153814832e-02	0.0000000000000000000e+00	
5.6434083725621686511e-01	-1.9091794947954744688e-02	0.0000000000000000000e+00	
5.6251154350143017790e-01	-1.9213314054265760722e-02	0.0000000000000000000e+00	
5.6067816986118779177e-01	-1.9334694030752760940e-02	0.0000000000000000000e+00	
5.5884076236270863181e-01	-1.9455928215491399835e-02	0.0000000000000000000e+00	
5.5699936713448305881e-01	-1.9577009932773451611e-02	0.0000000000000000000e+00	
5.5515403040511401844e-01	-1.9697932492917600428e-02	0.0000000000000000000e+00	
5.5330479850215608106e-01	-1.9818689192084928269e-02	0.0000000000000000000e+00	
5.5145171785095425943e-01	-1.9939273312098975549e-02	0.0000000000000000000e+00	
5.4959483497347583203e-01	-2.0059678120271522833e-02	0.0000000000000000000e+00	
5.4773419648714438690e-01	-2.0179896869233267948e-02	0.0000000000000000000e+00	
5.4586984910366875834e-01	-2.0299922796770484418e-02	0.0000000000000000000e+00	
5.4400183962787040937e-01	-2.0419749125667321227e-02	0.0000000000000000000e+00	
5.4213021495650826065e-01	-2.0539369063554621664e-02	0.0000000000000000000e+00	
5.4025502207710185409e-01	-2.0658775802764716562e-02	0.0000000000000000000e+00	
5.3837630806675051964e-01	-2.0777962520193211937e-02	0.0000000000000000000e+00	
5.3649412009095298615e-01	-2.0896922377167431034e-02	0.0000000000000000000e+00	
5.3460850540242277340e-01	-2.1015648519322121385e-02	0.0000000000000000000e+00	
5.3271951133990069760e-01	-2.1134134076482520570e-02	0.0000000000000000000e+00	
5.3082718532696870906e-01	-2.1252372162554777207e-02	0.0000000000000000000e+00	
5.2893157487085695756e-01	-2.1370355875424615344e-02	0.0000000000000000000e+00	
5.2703272756125307819e-01	-2.1488078296863697553e-02	0.0000000000000000000e+00	
5.2513069106910581496e-01	-2.1605532492444387560e-02	0.0000000000000000000e+00	
5.2322551314542964374e-01	-2.1722711511463089346e-02	0.0000000000000000000e+00	
5.2131724162010495416e-01	-2.1839608386872183532e-02	0.0000000000000000000e+00	
5.1940592440067789859e-01	-2.1956216135220949642e-02	0.0000000000000000000e+00	
5.1749160947115679932e-01	-2.2072527756605730964e-02	0.0000000000000000000e+00	
5.1557434489080888884e-01	-2.2188536234629303856e-02	0.0000000000000000000e+00	
5.1365417879295260928e-01	-2.2304234536369867831e-02	0.0000000000000000000e+00	
5.1173115938374935663e-01	-2.2419615612360006829e-02	0.0000000000000000000e+00	
5.0980533494099400382e-01	-2.2534672396575222697e-02	0.0000000000000000000e+00	
5.0787675381290198207e-01	-2.2649397806433005376e-02	0.0000000000000000000e+00	
5.0594546441689602911e-01	-2.2763784742802037342e-02	0.0000000000000000000e+00	
5.0401151523839049506e-01	-2.2877826090022156807e-02	0.0000000000000000000e+00	
5.0207495482957398281e-01	-2.2991514715934691093e-02	0.0000000000000000000e+00	
5.0013583180819054519e-01	-2.3104843471924138565e-02	0.0000000000000000000e+00	
4.9819419485631971645e-01	-2.3217805192970553813e-02	0.0000000000000000000e+00	
4.9625009271915276887e-01	-2.3330392697713486089e-02	0.0000000000000000000e+00	
4.9430357420377080135e-01	-2.3442598788527061610e-02	0.0000000000000000000e+00	
4.9235468817791838703e-01	-2.3554416251606886262e-02	0.0000000000000000000e+00	
4.9040348356877655478e-01	-2.3665837857068546674e-02	0.0000000000000000000e+00	
4.8845000936173521566e-01	-2.3776856359057994134e-02	0.0000000000000000000e+00	
4.8649431459916292475e-01	-2.3887464495874085463e-02	0.0000000000000000000e+00	
4.8453644837917569932e-01	-2.3997654990103124695e-02	0.0000000000000000000e+00	
4.8257645985440433822e-01	-2.4107420548765932933e-02	0.0000000000000000000e+00	
4.8061439823076085309e-01	-2.4216753863477123720e-02	0.0000000000000000000e+00	
4.7865031276620229050e-01	-2.4325647610617142508e-02	0.0000000000000000000e+00	
4.7668425276949533131e-01	-2.4434094451516948782e-02	0.0000000000000000000e+00	
4.7471626759897722625e-01	-2.4542087032655476170e-02	0.0000000000000000000e+00	
4.7274640666131678701e-01	-2.4649617985870085624e-02	0.0000000000000000000e+00	
4.7077471941027548841e-01	-2.4756679928579841676e-02	0.0000000000000000000e+00	
4.6880125534546340793e-01	-2.4863265464022274442e-02	0.0000000000000000000e+00	
4.6682606401109877359e-01	-2.4969367181503051428e-02	0.0000000000000000000e+00	
4.6484919499476301530e-01	-2.5074977656659114267e-02	0.0000000000000000000e+00	
4.6287069792615609387e-01	-2.5180089451735068740e-02	0.0000000000000000000e+00	
4.6089062247585055321e-01	-2.5284695115873324217e-02	0.0000000000000000000e+00	
4.5890901835404473985e-01	-2.5388787185417455161e-02	0.0000000000000000000e+00	
4.5692593530931402412e-01	-2.5492358184229332863e-02	0.0000000000000000000e+00	
4.5494142312736318701e-01	-2.5595400624019916391e-02	0.0000000000000000000e+00	
4.5295553162977553185e-01	-2.5697907004693820721e-02	0.0000000000000000000e+00	
4.5096831067276177407e-01	-2.5799869814707443449e-02	0.0000000000000000000e+00	
4.4897981014591020754e-01	-2.5901281531441156664e-02	0.0000000000000000000e+00	
4.4699007997093159750e-01	-2.6002134621585196173e-02	0.0000000000000000000e+00	
4.4499917010040823673e-01	-2.6102421541539379962e-02	0.0000000000000000000e+00	
4.4300713051653856089e-01	-2.6202134737826968114e-02	0.0000000000000000000e+00	
4.4101401122988281855e-01	-2.6301266647522060504e-02	0.0000000000000000000e+00	
4.3901986227810729790e-01	-2.6399809698691285159e-02	0.0000000000000000000e+00	
4.3702473372472838697e-01	-2.6497756310849159694e-02	0.0000000000000000000e+00	
4.3502867565785507953e-01	-2.6595098895427538715e-02	0.0000000000000000000e+00	
4.3303173818893281322e-01	-2.6691829856258821041e-02	0.0000000000000000000e+00	
4.3103397145148419911e-01	-2.6787941590073208187e-02	0.0000000000000000000e+00	
4.2903542559985041738e-01	-2.6883426487009771250e-02	0.0000000000000000000e+00	
4.2703615080793322356e-01	-2.6978276931141340067e-02	0.0000000000000000000e+00	
4.2503619726793379074e-01	-2.7072485301013304859e-02	0.0000000000000000000e+00	
4.2303561518909393868e-01	-2.7166043970196042390e-02	0.0000000000000000000e+00	
4.2103445479643508698e-01	-2.7258945307851240730e-02	0.0000000000000000000e+00	
4.1903276632949693070e-01	-2.7351181679311803441e-02	0.0000000000000000000e+00	
4.1703060004107683767e-01	-2.7442745446675315818e-02	0.0000000000000000000e+00	
4.1502800619596824649e-01	-2.7533628969411236276e-02	0.0000000000000000000e+00	
4.1302503506969795444e-01	-2.7623824604981334074e-02	0.0000000000000000000e+00	
4.1102173694726479303e-01	-2.7713324709473737689e-02	0.0000000000000000000e+00	
4.0901816212187691590e-01	-2.7802121638250111568e-02	0.0000000000000000000e+00	
4.0701436089368892013e-01	-2.7890207746606172912e-02	0.0000000000000000000e+00	
4.0501038356853974465e-01	-2.7977575390445225817e-02	0.0000000000000000000e+00	
4.0300628045668879240e-01	-2.8064216926964868914e-02	0.0000000000000000000e+00	
4.0100210187155349573e-01	-2.8150124715356373423e-02	0.0000000000000000000e+00	
3.9899789812844638215e-01	-2.8235291117516960607e-02	0.0000000000000000000e+00	
3.9699371954331125201e-01	-2.8319708498774839867e-02	0.0000000000000000000e+00	
3.9498961643146024425e-01	-2.8403369228626573761e-02	0.0000000000000000000e+00	
3.9298563910631101326e-01	-2.8486265681486933055e-02	0.0000000000000000000e+00	
3.9098183787812307299e-01	-2.8568390237450960734e-02	0.0000000000000000000e+00	
3.8897826305273519587e-01	-2.8649735283068203384e-02	0.0000000000000000000e+00	
3.8697496493030208997e-01	-2.8730293212128818481e-02	0.0000000000000000000e+00	
3.8497199380403174240e-01	-2.8810056426461391060e-02	0.0000000000000000000e+00	
3.8296939995892309572e-01	-2.8889017336742456310e-02	0.0000000000000000000e+00	
3.8096723367050305820e-01	-2.8967168363317509494e-02	0.0000000000000000000e+00	
3.7896554520356490192e-01	-2.9044501937033041783e-02	0.0000000000000000000e+00	
3.7696438481090599470e-01	-2.9121010500079865663e-02	0.0000000000000000000e+00	
3.7496380273206625366e-01	-2.9196686506847199100e-02	0.0000000000000000000e+00	
3.7296384919206682085e-01	-2.9271522424787435601e-02	0.0000000000000000000e+00	
