628	2	
7.279992e-01	-2.233801e-02	0.000000e+00	
7.257667e-01	-2.249119e-02	0.000000e+00	
7.235285e-01	-2.264429e-02	0.000000e+00	
7.212848e-01	-2.279728e-02	0.000000e+00	
7.190354e-01	-2.295016e-02	0.000000e+00	
7.167806e-01	-2.310293e-02	0.000000e+00	
7.145204e-01	-2.325557e-02	0.000000e+00	
7.122547e-01	-2.340809e-02	0.000000e+00	
7.099838e-01	-2.356046e-02	0.000000e+00	
7.077075e-01	-2.371268e-02	0.000000e+00	
7.054260e-01	-2.386474e-02	0.000000e+00	
7.031394e-01	-2.401664e-02	0.000000e+00	
7.008477e-01	-2.416837e-02	0.000000e+00	
6.985510e-01	-2.431991e-02	0.000000e+00	
6.962492e-01	-2.447126e-02	0.000000e+00	
6.939425e-01	-2.462242e-02	0.000000e+00	
6.916310e-01	-2.477336e-02	0.000000e+00	
6.893146e-01	-2.492409e-02	0.000000e+00	
6.869935e-01	-2.507460e-02	0.000000e+00	
6.846677e-01	-2.522487e-02	0.000000e+00	
6.823373e-01	-2.537490e-02	0.000000e+00	
6.800023e-01	-2.552469e-02	0.000000e+00	
6.776628e-01	-2.567421e-02	0.000000e+00	
6.753188e-01	-2.582347e-02	0.000000e+00	
6.729704e-01	-2.597245e-02	0.000000e+00	
6.706177e-01	-2.612115e-02	0.000000e+00	
6.682606e-01	-2.626956e-02	0.000000e+00	
6.658994e-01	-2.641767e-02	0.000000e+00	
6.635340e-01	-2.656547e-02	0.000000e+00	
6.611645e-01	-2.671294e-02	0.000000e+00	
6.587909e-01	-2.686010e-02	0.000000e+00	
6.564134e-01	-2.700692e-02	0.000000e+00	
6.540319e-01	-2.715339e-02	0.000000e+00	
6.516466e-01	-2.729951e-02	0.000000e+00	
6.492574e-01	-2.744527e-02	0.000000e+00	
6.468645e-01	-2.759066e-02	0.000000e+00	
6.444679e-01	-2.773567e-02	0.000000e+00	
6.420677e-01	-2.788029e-02	0.000000e+00	
6.396639e-01	-2.802452e-02	0.000000e+00	
6.372567e-01	-2.816834e-02	0.000000e+00	
6.348459e-01	-2.831175e-02	0.000000e+00	
6.324318e-01	-2.845473e-02	0.000000e+00	
6.300144e-01	-2.859728e-02	0.000000e+00	
6.275937e-01	-2.873939e-02	0.000000e+00	
6.251698e-01	-2.888105e-02	0.000000e+00	
6.227427e-01	-2.902226e-02	0.000000e+00	
6.203126e-01	-2.916299e-02	0.000000e+00	
6.178795e-01	-2.930325e-02	0.000000e+00	
6.154434e-01	-2.944302e-02	0.000000e+00	
6.130044e-01	-2.958230e-02	0.000000e+00	
6.105625e-01	-2.972107e-02	0.000000e+00	
6.081179e-01	-2.985933e-02	0.000000e+00	
6.056706e-01	-2.999707e-02	0.000000e+00	
6.032206e-01	-3.013428e-02	0.000000e+00	
6.007680e-01	-3.027094e-02	0.000000e+00	
5.983129e-01	-3.040706e-02	0.000000e+00	
5.958553e-01	-3.054262e-02	0.000000e+00	
5.933953e-01	-3.067761e-02	0.000000e+00	
5.909330e-01	-3.081202e-02	0.000000e+00	
5.884684e-01	-3.094585e-02	0.000000e+00	
5.860016e-01	-3.107908e-02	0.000000e+00	
5.835326e-01	-3.121171e-02	0.000000e+00	
5.810615e-01	-3.134372e-02	0.000000e+00	
5.785884e-01	-3.147511e-02	0.000000e+00	
5.761133e-01	-3.160587e-02	0.000000e+00	
5.736363e-01	-3.173598e-02	0.000000e+00	
5.711574e-01	-3.186545e-02	0.000000e+00	
5.686768e-01	-3.199425e-02	0.000000e+00	
5.661944e-01	-3.212238e-02	0.000000e+00	
5.637104e-01	-3.224984e-02	0.000000e+00	
